country,date,demand,type
DE,2018-04-01,708.0,power
DK,2018-04-01,3.0,power
EE,2018-04-01,35.0,power
ES,2018-04-01,275.0,power
EU27_2020,2018-04-01,4074.2,power
FI,2018-04-01,26.0,power
FR,2018-04-01,62.0,power
GR,2018-04-01,184.0,power
HR,2018-04-01,17.0,power
HU,2018-04-01,127.0,power
IE,2018-04-01,0.0,power
IT,2018-04-01,1439.0,power
LT,2018-04-01,14.0,power
LU,2018-04-01,0.0,power
LV,2018-04-01,36.0,power
MT,2018-04-01,18.0,power
NL,2018-04-01,444.0,power
PL,2018-04-01,153.0,power
PT,2018-04-01,161.0,power
RO,2018-04-01,0.0,power
SE,2018-04-01,0.0,power
SI,2018-04-01,11.0,power
SK,2018-04-01,0.0,power
AT,2018-05-01,22.0,power
BE,2018-05-01,265.2,power
BG,2018-05-01,45.0,power
CY,2018-05-01,0.0,power
CZ,2018-05-01,13.0,power
DE,2018-05-01,548.0,power
DK,2018-05-01,3.0,power
EE,2018-05-01,10.0,power
ES,2018-05-01,418.0,power
EU27_2020,2018-05-01,4049.2,power
FI,2018-05-01,3.0,power
FR,2018-05-01,30.0,power
GR,2018-05-01,214.0,power
HR,2018-05-01,17.0,power
HU,2018-05-01,127.0,power
IE,2018-05-01,0.0,power
IT,2018-05-01,1458.0,power
LT,2018-05-01,11.0,power
LU,2018-05-01,0.0,power
LV,2018-05-01,21.0,power
MT,2018-05-01,29.0,power
NL,2018-05-01,491.0,power
PL,2018-05-01,90.0,power
PT,2018-05-01,222.0,power
RO,2018-05-01,0.0,power
SE,2018-05-01,0.0,power
SI,2018-05-01,12.0,power
SK,2018-05-01,0.0,power
AT,2018-06-01,39.0,power
BE,2018-06-01,305.7,power
BG,2018-06-01,41.0,power
CY,2018-06-01,0.0,power
CZ,2018-06-01,21.0,power
DE,2018-06-01,0.0,power
DK,2018-06-01,4.0,power
EE,2018-06-01,9.0,power
ES,2018-06-01,447.0,power
EU27_2020,2018-06-01,4025.7,power
FI,2018-06-01,3.0,power
FR,2018-06-01,73.0,power
GR,2018-06-01,235.0,power
HR,2018-06-01,21.0,power
HU,2018-06-01,115.0,power
IE,2018-06-01,0.0,power
IT,2018-06-01,1598.0,power
LT,2018-06-01,1.0,power
LU,2018-06-01,0.0,power
LV,2018-06-01,35.0,power
MT,2018-06-01,27.0,power
NL,2018-06-01,656.0,power
PL,2018-06-01,86.0,power
PT,2018-06-01,300.0,power
RO,2018-06-01,0.0,power
SE,2018-06-01,0.0,power
SI,2018-06-01,9.0,power
SK,2018-06-01,0.0,power
AT,2018-07-01,47.0,power
BE,2018-07-01,341.4,power
BG,2018-07-01,44.0,power
CY,2018-07-01,0.0,power
CZ,2018-07-01,52.0,power
DE,2018-07-01,787.0,power
DK,2018-07-01,2.0,power
EE,2018-07-01,8.0,power
ES,2018-07-01,466.0,power
EU27_2020,2018-07-01,5923.4,power
FI,2018-07-01,8.0,power
FR,2018-07-01,257.0,power
GR,2018-07-01,273.0,power
HR,2018-07-01,29.0,power
HU,2018-07-01,138.0,power
IE,2018-07-01,0.0,power
IT,2018-07-01,2123.0,power
