country,date,demand,type
AT,2020-07-19,10766800.0,power
AT,2020-07-20,12920300.0,power
AT,2020-07-21,16475000.0,power
AT,2020-07-22,28944000.0,power
AT,2020-07-23,30069300.0,power
AT,2020-07-24,18235900.0,power
AT,2020-07-25,11286000.0,power
AT,2020-07-26,3323800.0,power
AT,2020-07-27,11223800.0,power
AT,2020-07-28,14537600.0,power
AT,2020-07-29,13654400.0,power
AT,2020-07-30,19231000.0,power
AT,2020-07-31,14809100.0,power
AT,2020-08-01,10779200.0,power
AT,2020-08-02,10335800.0,power
AT,2020-08-03,12312700.0,power
AT,2020-08-04,10250000.0,power
AT,2020-08-05,9786600.0,power
AT,2020-08-06,10248800.0,power
AT,2020-08-07,13927900.0,power
AT,2020-08-08,10677800.0,power
AT,2020-08-09,9435600.0,power
AT,2020-08-10,14503100.0,power
AT,2020-08-11,21094900.0,power
AT,2020-08-12,18163500.0,power
AT,2020-08-13,10269800.0,power
AT,2020-08-14,12353300.0,power
AT,2020-08-15,10870600.0,power
AT,2020-08-16,10847300.0,power
AT,2020-08-17,21009000.0,power
AT,2020-08-18,23497700.0,power
AT,2020-08-19,10308500.0,power
AT,2020-08-20,12943500.0,power
AT,2020-08-21,11695800.0,power
AT,2020-08-22,10804000.0,power
AT,2020-08-23,4606100.0,power
AT,2020-08-24,18565500.0,power
AT,2020-08-25,17791300.0,power
AT,2020-08-26,16822900.0,power
AT,2020-08-27,16924800.0,power
AT,2020-08-28,10054400.0,power
AT,2020-08-29,10840000.0,power
AT,2020-08-30,9973500.0,power
AT,2020-08-31,9851300.0,power
AT,2020-09-01,14882699.999999998,power
AT,2020-09-02,10485300.000000002,power
AT,2020-09-03,10776900.0,power
AT,2020-09-04,10599400.0,power
AT,2020-09-05,9256200.0,power
AT,2020-09-06,9374900.0,power
AT,2020-09-07,11281600.0,power
AT,2020-09-08,10646700.0,power
AT,2020-09-09,10853400.0,power
AT,2020-09-10,12459200.0,power
AT,2020-09-11,10624700.0,power
AT,2020-09-12,9746400.0,power
AT,2020-09-13,9535200.0,power
AT,2020-09-14,12272800.0,power
AT,2020-09-15,14466200.0,power
AT,2020-09-16,30746100.0,power
AT,2020-09-17,18173600.000000004,power
AT,2020-09-18,13288100.0,power
AT,2020-09-19,14412600.0,power
AT,2020-09-20,11802200.0,power
AT,2020-09-21,11274000.0,power
AT,2020-09-22,10887900.0,power
AT,2020-09-23,23336400.0,power
AT,2020-09-24,29241800.0,power
AT,2020-09-25,11376300.0,power
AT,2020-09-26,10786100.0,power
AT,2020-09-27,10676300.0,power
AT,2020-09-28,10821300.0,power
AT,2020-09-29,11020000.0,power
AT,2020-09-30,11049000.0,power
AT,2020-10-01,17838600.0,power
AT,2020-10-02,18227900.0,power
AT,2020-10-03,7525300.0,power
AT,2020-10-04,2719500.0,power
AT,2020-10-05,21877200.0,power
AT,2020-10-06,30214100.0,power
AT,2020-10-07,31371300.0,power
AT,2020-10-08,24433300.0,power
AT,2020-10-09,33614300.0,power
AT,2020-10-10,18259800.0,power
AT,2020-10-11,15314400.0,power
