date,country,type,year,month,demand,source,country_contributions
2017-03-01,CZ,total,2017,3,827.0,eurostat,
2017-03-01,DE,total,2017,3,8176.0,eurostat,
2017-03-01,DK,total,2017,3,346.0,eurostat,
2017-03-01,EE,total,2017,3,58.0,eurostat,
2017-03-01,ES,total,2017,3,2602.0,eurostat,
2017-03-01,EU27_2020,total,2017,3,36573.9,eurostat,
2017-03-01,FI,total,2017,3,244.0,eurostat,
2017-03-01,FR,total,2017,3,4208.0,eurostat,
2017-03-01,GR,total,2017,3,328.0,eurostat,
2017-03-01,HR,total,2017,3,248.0,eurostat,
2017-03-01,HU,total,2017,3,895.0,eurostat,
2017-03-01,IE,total,2017,3,460.0,eurostat,
2017-03-01,IT,total,2017,3,6491.0,eurostat,
2017-03-01,LT,total,2017,3,219.0,eurostat,
2017-03-01,LU,total,2017,3,76.0,eurostat,
2017-03-01,LV,total,2017,3,128.0,eurostat,
2017-03-01,MT,total,2017,3,10.0,eurostat,
2017-03-01,NL,total,2017,3,3976.0,eurostat,
2017-03-01,PL,total,2017,3,1896.0,eurostat,
2017-03-01,PT,total,2017,3,497.0,eurostat,
2017-03-01,RO,total,2017,3,1113.0,eurostat,
2017-03-01,SE,total,2017,3,410.0,eurostat,
2017-03-01,SI,total,2017,3,83.0,eurostat,
2017-03-01,SK,total,2017,3,468.0,eurostat,
2017-04-01,AT,total,2017,4,708.0,eurostat,
2017-04-01,BE,total,2017,4,1477.6,eurostat,
2017-04-01,BG,total,2017,4,261.0,eurostat,
2017-04-01,CY,total,2017,4,0.0,eurostat,
2017-04-01,CZ,total,2017,4,701.0,eurostat,
2017-04-01,DE,total,2017,4,7677.0,eurostat,
2017-04-01,DK,total,2017,4,268.0,eurostat,
2017-04-01,EE,total,2017,4,44.0,eurostat,
2017-04-01,ES,total,2017,4,2110.0,eurostat,
2017-04-01,EU27_2020,total,2017,4,30512.6,eurostat,
2017-04-01,FI,total,2017,4,185.0,eurostat,
2017-04-01,FR,total,2017,4,3114.0,eurostat,
2017-04-01,GR,total,2017,4,286.0,eurostat,
2017-04-01,HR,total,2017,4,208.0,eurostat,
2017-04-01,HU,total,2017,4,756.0,eurostat,
2017-04-01,IE,total,2017,4,447.0,eurostat,
2017-04-01,IT,total,2017,4,4835.0,eurostat,
2017-04-01,LT,total,2017,4,217.0,eurostat,
2017-04-01,LU,total,2017,4,63.0,eurostat,
2017-04-01,LV,total,2017,4,104.0,eurostat,
2017-04-01,MT,total,2017,4,19.0,eurostat,
2017-04-01,NL,total,2017,4,3469.0,eurostat,
2017-04-01,PL,total,2017,4,1708.0,eurostat,
2017-04-01,PT,total,2017,4,465.0,eurostat,
2017-04-01,RO,total,2017,4,886.0,eurostat,
2017-04-01,SE,total,2017,4,52.0,eurostat,
2017-04-01,SI,total,2017,4,65.0,eurostat,
2017-04-01,SK,total,2017,4,387.0,eurostat,
2017-05-01,AT,total,2017,5,496.0,eurostat,
2017-05-01,BE,total,2017,5,1119.0,eurostat,
2017-05-01,BG,total,2017,5,220.0,eurostat,
2017-05-01,CY,total,2017,5,0.0,eurostat,
2017-05-01,CZ,total,2017,5,443.0,eurostat,
2017-05-01,DE,total,2017,5,6099.0,eurostat,
2017-05-01,DK,total,2017,5,190.0,eurostat,
2017-05-01,EE,total,2017,5,29.0,eurostat,
2017-05-01,ES,total,2017,5,2081.0,eurostat,
2017-05-01,EU27_2020,total,2017,5,24884.0,eurostat,
2017-05-01,FI,total,2017,5,148.0,eurostat,
2017-05-01,FR,total,2017,5,2268.0,eurostat,
2017-05-01,GR,total,2017,5,317.0,eurostat,
2017-05-01,HR,total,2017,5,178.0,eurostat,
2017-05-01,HU,total,2017,5,492.0,eurostat,
2017-05-01,IE,total,2017,5,400.0,eurostat,
2017-05-01,IT,total,2017,5,4510.0,eurostat,
2017-05-01,LT,total,2017,5,146.0,eurostat,
2017-05-01,LU,total,2017,5,48.0,eurostat,
2017-05-01,LV,total,2017,5,60.0,eurostat,
2017-05-01,MT,total,2017,5,21.0,eurostat,
2017-05-01,NL,total,2017,5,2730.0,eurostat,
2017-05-01,PL,total,2017,5,1348.0,eurostat,
2017-05-01,PT,total,2017,5,493.0,eurostat,
2017-05-01,RO,total,2017,5,692.0,eurostat,
2017-05-01,SE,total,2017,5,48.0,eurostat,
2017-05-01,SI,total,2017,5,54.0,eurostat,
2017-05-01,SK,total,2017,5,254.0,eurostat,
2017-06-01,AT,total,2017,6,450.0,eurostat,
2017-06-01,BE,total,2017,6,896.3,eurostat,
2017-06-01,BG,total,2017,6,213.0,eurostat,
2017-06-01,CY,total,2017,6,0.0,eurostat,
2017-06-01,CZ,total,2017,6,360.0,eurostat,
2017-06-01,DE,total,2017,6,4917.0,eurostat,
2017-06-01,DK,total,2017,6,155.0,eurostat,
2017-06-01,EE,total,2017,6,17.0,eurostat,
2017-06-01,ES,total,2017,6,2220.0,eurostat,
2017-06-01,EU27_2020,total,2017,6,21951.3,eurostat,
2017-06-01,FI,total,2017,6,128.0,eurostat,
2017-06-01,FR,total,2017,6,1640.0,eurostat,
2017-06-01,GR,total,2017,6,393.0,eurostat,
2017-06-01,HR,total,2017,6,159.0,eurostat,
