country,date,demand,type,source
LV,2016-12-01,162.0,total,eurostat
MT,2016-12-01,0.0,total,eurostat
NL,2016-12-01,5032.0,total,eurostat
PL,2016-12-01,2201.0,total,eurostat
PT,2016-12-01,509.0,total,eurostat
RO,2016-12-01,1492.0,total,eurostat
SE,2016-12-01,111.0,total,eurostat
SI,2016-12-01,110.0,total,eurostat
SK,2016-12-01,658.0,total,eurostat
AT,2017-01-01,1574.0,total,eurostat
BE,2017-01-01,2518.2,total,eurostat
BG,2017-01-01,469.0,total,eurostat
CY,2017-01-01,0.0,total,eurostat
CZ,2017-01-01,1480.0,total,eurostat
DE,2017-01-01,13392.0,total,eurostat
DK,2017-01-01,431.0,total,eurostat
EE,2017-01-01,70.0,total,eurostat
ES,2017-01-01,3422.0,total,eurostat
EU27_2020,2017-01-01,57741.2,total,eurostat
FI,2017-01-01,316.0,total,eurostat
FR,2017-01-01,7061.0,total,eurostat
GR,2017-01-01,637.0,total,eurostat
HR,2017-01-01,460.0,total,eurostat
HU,2017-01-01,1897.0,total,eurostat
IE,2017-01-01,503.0,total,eurostat
IT,2017-01-01,11141.0,total,eurostat
LT,2017-01-01,274.0,total,eurostat
LU,2017-01-01,115.0,total,eurostat
LV,2017-01-01,199.0,total,eurostat
MT,2017-01-01,3.0,total,eurostat
NL,2017-01-01,5929.0,total,eurostat
PL,2017-01-01,2512.0,total,eurostat
PT,2017-01-01,511.0,total,eurostat
RO,2017-01-01,1754.0,total,eurostat
SE,2017-01-01,92.0,total,eurostat
SI,2017-01-01,135.0,total,eurostat
SK,2017-01-01,846.0,total,eurostat
AT,2017-02-01,1093.0,total,eurostat
BE,2017-02-01,1859.1,total,eurostat
BG,2017-02-01,363.0,total,eurostat
CY,2017-02-01,0.0,total,eurostat
CZ,2017-02-01,1039.0,total,eurostat
DE,2017-02-01,9227.0,total,eurostat
DK,2017-02-01,378.0,total,eurostat
EE,2017-02-01,64.0,total,eurostat
ES,2017-02-01,2603.0,total,eurostat
EU27_2020,2017-02-01,42015.1,total,eurostat
FI,2017-02-01,281.0,total,eurostat
FR,2017-02-01,4845.0,total,eurostat
GR,2017-02-01,436.0,total,eurostat
HR,2017-02-01,318.0,total,eurostat
